"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 08 09:03:34 GMT 2025","Tue Jul 08 09:03:35 GMT 2025","1387","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jul 08 09:03:33 GMT 2025","Tue Jul 08 09:03:34 GMT 2025","1793","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jul 08 09:03:28 GMT 2025","Tue Jul 08 09:03:30 GMT 2025","2226","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jul 08 09:03:36 GMT 2025","Tue Jul 08 09:03:38 GMT 2025","1434","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jul 08 09:03:31 GMT 2025","Tue Jul 08 09:03:34 GMT 2025","2823","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jul 08 09:03:38 GMT 2025","Tue Jul 08 09:03:41 GMT 2025","2916","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jul 08 09:03:37 GMT 2025","Tue Jul 08 09:03:39 GMT 2025","2112","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jul 08 09:03:40 GMT 2025","Tue Jul 08 09:03:41 GMT 2025","1728","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jul 08 09:03:31 GMT 2025","Tue Jul 08 09:03:32 GMT 2025","1374","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jul 08 09:03:28 GMT 2025","Tue Jul 08 09:03:30 GMT 2025","2219","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
